alts,rh,t,p,r28um,r50um,r74um,r98um,r122um,r156um,bd_fallv_28um,bd_fallv_50um,bd_fallv_74um,bd_fallv_98um,bd_fallv_122um,bd_fallv_156um
71,65.40628430100365,27.02337849913426,1011.3830784092276,4.796577036070891,8.5653161358409,12.676667881044546,16.788019626248186,20.89937137145183,25.010723116655477,0.003407654853751,0.0107822952589764,0.0233591358838442,0.0405936509590993,0.0621688308353827,0.0912128562234126
72,65.44056491290952,27.013720248478727,1011.270742959166,4.797725565135712,8.567367080599508,12.679703279287288,16.792039477975063,20.90437567666284,25.01671187535061,0.0034088899592713,0.0107862173306048,0.0233675550242721,0.0406081812804373,0.0621907462151704,0.0912421987903432
73,65.4748455248154,27.00406199782319,1011.1584075091048,4.798875823720317,8.569421113786305,12.682743248403742,16.79606538302118,20.909387517638613,25.02270965225605,0.0034101272407993,0.0107901463193917,0.023375988963572,0.0406227370016706,0.0622126995728966,0.0912715921513564
74,65.50912613672126,26.99440374716765,1011.0460720590432,4.800027815999268,8.571478242855859,12.685787799426684,16.800097355997504,20.914406912568328,25.02871646913915,0.0034113667043634,0.0107940822445031,0.023384437742618,0.0406373181925402,0.0622346910120367,0.0913010364447091
75,65.54340674862713,26.98474549651212,1010.9337366089818,4.801181546161189,8.573538475287862,12.688836943426049,16.804135411564232,20.919433879702417,25.0347323478406,0.0034126083560143,0.010798025125177,0.0233929014024364,0.0406519249230455,0.0622567206364459,0.091330531809164
76,65.57768736053299,26.97508724585658,1010.8214011589204,4.802337018408831,8.575601818587222,12.6918906915091,16.80817956443098,20.924468437352857,25.04075731027473,0.0034138522018256,0.010801974980723,0.0234013799842059,0.0406665572634443,0.0622787885503603,0.091360078383991
77,65.61196797243886,26.965428995201044,1010.7090657088588,4.803494236959135,8.577668280284193,12.694949054820617,16.812229829357044,20.929510603893466,25.046791378429887,0.0034150982478935,0.0108059318305228,0.0234098735292588,0.0406812152842549,0.0623008948583999,0.0913896763089707
78,65.64624858434473,26.95577074454551,1010.5967302587976,4.804653206043286,8.579737867934462,12.698012044543017,16.816286221151564,20.93456039776012,25.05283457436867,0.0034163465003369,0.0108098956940309,0.0234183820790813,0.0406958990562568,0.0623230396655692,0.0914193257243959
79,65.6805291962506,26.946112493889974,1010.484394808736,4.8058139299067815,8.581810589119277,12.70107967189654,16.820348754673805,20.939617837451067,25.05888692022833,0.0034175969652977,0.0108138665907743,0.0234269056753149,0.0407106086504923,0.0623452230772595,0.0914490267710742
80,65.71480980815647,26.93645424323444,1010.3720593586746,4.8069764128094965,8.583886451445553,12.70415194813943,16.82441744483331,20.94468294152718,25.06494843822105,0.003418849648941,0.0108178445403536,0.0234354443597561,0.0407253441382672,0.0623674451992506,0.0914787795903304
81,65.74909042006234,26.926795992578903,1010.2597239086132,4.80814065902574,8.585965462545987,12.707228884568073,16.828492306590157,20.94975572861224,25.071019150634324,0.0034201045574546,0.0108218295624427,0.0234439981743584,0.0407401055911527,0.0623897061377128,0.0915085843240094
82,65.78337103196822,26.91713774192337,1010.1473884585516,4.809306672844318,8.588047630079165,12.710310492517175,16.832573354955187,20.954836217393197,25.077099079831203,0.00342136169705,0.0108258216767895,0.0234525671612318,0.0407548930809862,0.0624120059992084,0.0915384411144775
83,65.81765164387407,26.907479491267832,1010.0350530084904,4.810474458568606,8.590132961729678,12.713396783359936,16.83666060499019,20.959924426620447,25.083188248250703,0.0034226210739617,0.0108298209032161,0.0234611513626442,0.0407697066798725,0.0624343448906938,0.0915683501046257
84,65.85193225577994,26.89782124061229,1009.9227175584288,4.8116440205166,8.59222146520824,12.716487768508204,16.84075407180817,20.96502037510814,25.089286678408104,0.0034238826944479,0.0108338272616195,0.0234697508210224,0.0407845464601854,0.0624567229195212,0.091598311437872
